Num_Users,Action,Cost_ETH,Cost_USD_ETH,Cost_MATIC,Cost_USD_MATIC
2,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
2,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
2,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
3,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
3,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
3,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
3,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
3,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
3,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
3,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
4,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
4,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
4,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
4,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
4,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
4,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
4,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
5,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
5,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
5,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
5,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
5,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
5,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
5,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
6,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
6,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
6,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
6,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
6,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
6,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
6,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
7,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
7,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
7,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
7,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
7,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
7,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
7,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
8,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
8,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
8,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
8,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
8,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
8,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
8,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
9,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
9,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
9,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
9,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
9,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
9,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
9,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
10,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
10,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
10,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
10,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
10,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
10,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
10,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
11,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
11,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
11,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
11,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
11,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
11,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
11,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
12,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
12,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
12,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
12,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
12,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
12,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
12,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
13,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
13,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
13,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
13,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
13,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
13,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
13,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
14,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
14,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
14,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
14,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
14,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
14,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
14,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
15,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
15,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
15,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
15,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
15,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
15,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
15,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
16,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
16,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
16,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
16,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
16,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
16,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
16,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
17,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
17,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
17,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
17,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
17,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
17,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
17,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
18,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
18,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
18,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
18,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
18,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
18,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
18,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
19,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
19,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
19,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
19,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
19,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
19,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
19,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
20,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
20,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
20,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
20,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
20,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
20,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
20,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
21,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
21,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
21,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
21,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
21,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
21,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
21,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
22,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
22,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
22,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
22,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
22,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
22,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
22,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
23,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
23,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
23,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
23,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
23,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
23,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
23,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
24,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
24,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
24,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
24,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
24,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
24,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
24,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
25,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
25,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
25,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
