Number of Users,Average Registration Gas,Average Service Addition Gas,Average Service Selection Gas,Average Registration Latency,Average Service Addition Latency,Average Service Selection Latency,Registration TPS,Service Addition TPS,Service Selection TPS
2,67741.0,77454.0,31240.0,0.05085861682891846,0.04989280700683594,0.04617166519165039,19.66235148242166,20.04296931746068,21.65830484668849
3,67741.0,77454.0,31240.0,0.05399799346923828,0.04528841972351074,0.041432857513427734,18.51920665477473,22.080699792685998,24.13543404955634
4,67741.0,77454.0,31252.0,0.03747224807739258,0.045827722549438475,0.048450469970703125,26.686415982693898,21.82085306380238,20.639634674435083
5,67741.0,77454.0,31252.0,0.04531502723693848,0.04585261344909668,0.047777414321899414,22.067734722331835,21.8090077048749,20.930391780152
6,67741.0,77454.0,31252.0,0.06580615043640137,0.047909212112426755,0.04361128807067871,15.196147979609508,20.872812469830173,22.929843263958364
7,67741.0,77454.0,31240.0,0.044934988021850586,0.04603109359741211,0.049292802810668945,22.254373351868455,21.724445844063556,20.28693730078501
8,67741.0,77454.0,31240.0,0.04922938346862793,0.04412684440612793,0.045783281326293945,20.313071778306206,22.66194225891959,21.842034276072884
9,67741.0,77454.0,31240.0,0.04270672798156738,0.047007179260253905,0.04488325119018555,23.415514305652476,21.273346236402073,22.28002592242396
10,67741.0,77454.0,31252.0,0.05003523826599121,0.0472928524017334,0.04320859909057617,19.98591462049051,21.14484428863393,23.14354135628759
11,67741.0,77454.0,31240.0,0.03979635238647461,0.04680943489074707,0.04768633842468262,25.127931079931464,21.36321453856458,20.970366629835357
12,67741.0,77454.0,31252.0,0.05107831954956055,0.04716157913208008,0.0523076057434082,19.57777798523138,21.203700520701684,19.11767869677384
13,67741.0,77454.0,31240.0,0.05605578422546387,0.057299327850341794,0.04717111587524414,17.83937222210408,17.452211701538047,21.199413697245387
14,67741.0,77454.0,31252.0,0.046904802322387695,0.04942231178283692,0.05110502243041992,21.319778583155852,20.233776282947453,19.567548402146024
15,67741.0,77454.0,31240.0,0.05309939384460449,0.047960662841796876,0.04725193977355957,18.832606694654604,20.85042075624771,21.16315234447926
16,67741.0,77454.0,31252.0,0.05107712745666504,0.05088052749633789,0.04868197441101074,19.57823491245513,19.653884289465644,20.541484031794386
17,67741.0,77454.0,31252.0,0.048216819763183594,0.05079803466796875,0.048958539962768555,20.739650705116794,19.68580096722838,20.42544570897067
18,67741.0,77454.0,31252.0,0.04559063911437988,0.049758100509643556,0.05470681190490723,21.934327296688124,20.09723019483413,18.279259294769826
19,67741.0,77454.0,31252.0,0.052609920501708984,0.05067157745361328,0.059708595275878906,19.00782191768406,19.734929328289386,16.748007474963664
20,67741.0,77454.0,31252.0,0.04907727241516113,0.05236978530883789,0.053079843521118164,20.376030508392237,19.09497994125328,18.8395431045712
21,67741.0,77454.0,31252.0,0.0548553466796875,0.052730989456176755,0.06364321708679199,18.229763560500697,18.964180462251175,15.712593513873957
22,67741.0,77454.0,31252.0,0.0476837158203125,0.05478172302246094,0.04791688919067383,20.97152,18.254263371562665,20.869468300012937
23,67741.0,77454.0,31240.0,0.05309438705444336,0.05329861640930176,0.05322885513305664,18.834382605728038,18.7622131186407,18.786802712556774
24,67741.0,77454.0,31228.0,0.05856609344482422,0.05220861434936523,0.05956125259399414,17.074726026281937,19.15392722948523,16.789438711381887
25,67741.0,77454.0,31252.0,0.049137115478515625,0.052176046371459964,0.06315159797668457,20.351214967782006,19.165882996972247,15.834912053519181
26,67741.0,77454.0,31252.0,0.05592489242553711,0.05594391822814941,0.050127267837524414,17.88112514175115,17.875044002492267,19.949222112828124
27,67741.0,77454.0,31252.0,0.05547332763671875,0.05816130638122559,0.061147451400756836,18.026681336817493,17.193561531190074,16.353911358399195
28,67741.0,77454.0,31252.0,0.05802798271179199,0.05799684524536133,0.06770920753479004,17.2330650363413,17.242317160000724,14.769040081973852
29,67741.0,77454.0,31252.0,0.05557847023010254,0.059981918334960936,0.05473971366882324,17.992578706464247,16.671690865497744,18.26827239269148
30,67741.0,77454.0,31240.0,0.06463623046875,0.054260969161987305,0.06592178344726562,15.47119924457035,18.429453351904986,15.169492506220704
31,67741.0,77454.0,31252.0,0.06096625328063965,0.056099891662597656,0.05846095085144043,16.402516903848486,17.825346366340842,17.10543508847771
32,67741.0,77454.0,31252.0,0.06762862205505371,0.060156726837158205,0.06027817726135254,14.786638698418853,16.623244856838024,16.589751804607932
33,67741.0,77454.0,31252.0,0.0638577938079834,0.06427164077758789,0.060286521911621094,15.659795623490231,15.558961742714825,16.5874555089773
34,67741.0,77454.0,31240.0,0.0704646110534668,0.06071619987487793,0.05809640884399414,14.191520893249873,16.470068977649607,17.212767878394903
35,67741.0,77454.0,31252.0,0.056995391845703125,0.06222972869873047,0.05900907516479492,17.545278093835755,16.06948995135826,16.946545886497887
36,67741.0,77454.0,31252.0,0.05800342559814453,0.06861739158630371,0.057395219802856445,17.240361059502476,14.573564760797519,17.42305375665156
37,67741.0,77454.0,31240.0,0.05987215042114258,0.0613037109375,0.059157609939575195,16.70225627384299,16.312226204699325,16.903995969773298
38,67741.0,77454.0,31252.0,0.062192440032958984,0.06487345695495605,0.0633399486541748,16.07912472110836,15.41462482405301,15.787824607497356
39,67741.0,77454.0,31252.0,0.058034420013427734,0.06159849166870117,0.07276105880737305,17.23115350801515,16.234163741838994,13.743615285305163
40,67741.0,77454.0,31240.0,0.06386041641235352,0.06345639228820801,0.0693213939666748,15.65915251073362,15.75885366218382,14.425561039363037
41,67741.0,77454.0,31252.0,0.06514358520507812,0.06530041694641113,0.06060457229614258,15.350705627452129,15.313837901228888,16.500405202325783
42,67741.0,77454.0,31252.0,0.061113834381103516,0.06072115898132324,0.07293272018432617,16.362907189950455,16.468723864568897,13.7112670070807
43,67741.0,77454.0,31252.0,0.06628704071044922,0.06483969688415528,0.0769655704498291,15.085905016760902,15.422650753390052,12.992822558911087
44,67741.0,77454.0,31240.0,0.06653332710266113,0.06665182113647461,0.06265544891357422,15.03006152776633,15.003340988274347,15.960303809799235
45,67741.0,77454.0,31252.0,0.06831216812133789,0.06883454322814941,0.06156778335571289,14.638680450366813,14.527589682487452,16.242260895157106
46,67741.0,77454.0,31240.0,0.06554484367370605,0.07074055671691895,0.07253551483154297,15.256730262081007,14.136162428035162,13.78635007034013
47,67741.0,77454.0,31252.0,0.06577610969543457,0.07022466659545898,0.07902836799621582,15.203088243289777,14.240010646980618,12.653684054919163
48,67741.0,77454.0,31252.0,0.07307982444763184,0.0695958137512207,0.08192968368530273,13.683667244118636,14.368680328598932,12.205588438996852
49,67741.0,77454.0,31240.0,0.06934571266174316,0.0744619369506836,0.08420634269714355,14.420502171170025,13.429680195699227,11.875589984908844
50,67741.0,77454.0,31240.0,0.07320880889892578,0.07064285278320312,0.07494425773620605,13.65955839249658,14.155713714859656,13.343250439811795
