Action,User_Index,Gas_Used,Latency
Registration,1,67777,0.05010080337524414
Service_Addition,1,89454,0.04829239845275879
Service_Addition,1,74442,0.04461956024169922
Service_Addition,1,74442,0.04298973083496094
Service_Addition,1,74418,0.04360151290893555
Service_Addition,1,74454,0.08200693130493164
Registration,2,67777,0.04760336875915527
Service_Addition,2,89418,0.04128623008728027
Service_Addition,2,74442,0.04906439781188965
Registration,3,67741,0.04785776138305664
Service_Addition,3,89430,0.0446629524230957
Service_Addition,3,74466,0.044770240783691406
Service_Addition,3,74466,0.046276092529296875
Service_Addition,3,74442,0.04767107963562012
Service_Addition,3,74478,0.048305511474609375
Registration,4,67729,0.04678940773010254
Service_Addition,4,89478,0.040389060974121094
Registration,5,67741,0.04734373092651367
Service_Addition,5,89454,0.040657997131347656
Service_Addition,5,74418,0.04456377029418945
Service_Addition,5,74418,0.04520702362060547
Service_Addition,5,74466,0.052583932876586914
Registration,6,67717,0.04322385787963867
Service_Addition,6,89418,0.046846866607666016
Service_Addition,6,74418,0.06408262252807617
Service_Addition,6,74418,0.04291677474975586
Service_Addition,6,74430,0.04737281799316406
Registration,7,67717,0.03934502601623535
Service_Addition,7,89430,0.055048465728759766
Service_Addition,7,74454,0.042681217193603516
Registration,8,67729,0.04158806800842285
Service_Addition,8,89466,0.05033445358276367
Service_Addition,8,74478,0.041895151138305664
Registration,9,67681,0.048681020736694336
Service_Addition,9,89418,0.04543185234069824
Registration,10,67729,0.04141402244567871
Service_Addition,10,89454,0.051563262939453125
Service_Addition,10,74466,0.04740095138549805
Service_Addition,10,74418,0.04909229278564453
Service_Addition,10,74454,0.044112443923950195
Registration,11,67753,0.040244340896606445
Service_Addition,11,89454,0.04610037803649902
Registration,12,67729,0.044965505599975586
Service_Addition,12,89418,0.043869733810424805
Service_Addition,12,74418,0.04755520820617676
Service_Addition,12,74454,0.039603471755981445
Service_Addition,12,74478,0.04003715515136719
Registration,13,67693,0.06383776664733887
Service_Addition,13,89454,0.043537139892578125
Service_Addition,13,74466,0.0496516227722168
Service_Addition,13,74454,0.04302716255187988
Service_Addition,13,74430,0.04386091232299805
Registration,14,67681,0.04060983657836914
Service_Addition,14,89442,0.04071402549743652
Service_Addition,14,74442,0.03936934471130371
Service_Addition,14,74466,0.042862653732299805
Service_Addition,14,74418,0.03883481025695801
Service_Addition,14,74454,0.04973030090332031
Registration,15,67789,0.043080806732177734
Service_Addition,15,89430,0.04183030128479004
Service_Addition,15,74454,0.0394749641418457
Service_Addition,15,74418,0.049471139907836914
Service_Addition,15,74418,0.04688715934753418
Registration,16,67729,0.05157780647277832
Service_Addition,16,89478,0.04856395721435547
Service_Addition,16,74478,0.047315120697021484
Service_Addition,16,74442,0.040940046310424805
Registration,17,67741,0.04205179214477539
Service_Addition,17,89478,0.04128599166870117
Registration,18,67741,0.04442405700683594
Service_Addition,18,89418,0.04114103317260742
Service_Addition,18,74430,0.04347848892211914
Service_Addition,18,74418,0.04300808906555176
Service_Addition,18,74418,0.039150238037109375
Registration,19,67765,0.04336857795715332
Service_Addition,19,89442,0.04492521286010742
Service_Addition,19,74478,0.04835963249206543
Service_Addition,19,74418,0.04680490493774414
Service_Addition,19,74442,0.04835009574890137
Service_Addition,19,74418,0.04129600524902344
Registration,20,67753,0.047522783279418945
Service_Addition,20,89466,0.04426765441894531
Service_Addition,20,74430,0.05042552947998047
Service_Addition,20,74466,0.04972553253173828
Service_Addition,20,74442,0.046367645263671875
Registration,21,67717,0.05736684799194336
Service_Addition,21,89478,0.046076297760009766
Service_Addition,21,74442,0.04709506034851074
Service_Addition,21,74442,0.05069613456726074
Registration,22,67729,0.04419875144958496
Service_Addition,22,89478,0.045122623443603516
Service_Addition,22,74418,0.04770231246948242
Registration,23,67729,0.04468727111816406
Service_Addition,23,89466,0.04457283020019531
Service_Addition,23,74466,0.04505777359008789
Registration,24,67717,0.04739093780517578
Service_Addition,24,89430,0.04742240905761719
Service_Addition,24,74418,0.04181480407714844
Registration,25,67729,0.040349483489990234
Service_Addition,25,89466,0.047994136810302734
Service_Addition,25,74442,0.044066429138183594
Registration,26,67765,0.08074450492858887
Service_Addition,26,89478,0.04218912124633789
Service_Addition,26,74442,0.04377484321594238
Service_Addition,26,74454,0.04413294792175293
Registration,27,67789,0.04773688316345215
Service_Addition,27,89454,0.0446467399597168
Service_Addition,27,74430,0.04725027084350586
Service_Addition,27,74430,0.05560302734375
Registration,28,67789,0.05274796485900879
Service_Addition,28,89466,0.045803070068359375
Service_Addition,28,74442,0.04863739013671875
Service_Addition,28,74430,0.04461836814880371
Registration,29,67717,0.04481959342956543
Service_Addition,29,89430,0.04902195930480957
Service_Addition,29,74430,0.045070648193359375
Service_Addition,29,74454,0.04551053047180176
Registration,30,67717,0.046892404556274414
Service_Addition,30,89466,0.041748046875
Service_Addition,30,74442,0.04672598838806152
Service_Addition,30,74478,0.044448137283325195
Registration,31,67753,0.057248830795288086
Service_Addition,31,89478,0.04192209243774414
Registration,32,67741,0.04268646240234375
Service_Addition,32,89442,0.04752612113952637
Service_Addition,32,74430,0.04221463203430176
Service_Addition,32,74466,0.05236411094665527
Registration,33,67717,0.04759955406188965
Service_Addition,33,89430,0.0477292537689209
Service_Addition,33,74478,0.04638195037841797
Service_Addition,33,74466,0.042113542556762695
Service_Addition,33,74478,0.04842543601989746
Registration,34,67705,0.04424452781677246
Service_Addition,34,89466,0.0475308895111084
Service_Addition,34,74466,0.0475921630859375
Service_Addition,34,74430,0.04794454574584961
Registration,35,67717,0.04377174377441406
Service_Addition,35,89430,0.04275870323181152
Service_Addition,35,74478,0.04808831214904785
Service_Addition,35,74418,0.05193781852722168
Service_Addition,35,74418,0.048970699310302734
Service_Addition,35,74454,0.04823803901672363
Registration,36,67729,0.0452880859375
Service_Addition,36,89466,0.044594764709472656
Registration,37,67717,0.04608154296875
Service_Addition,37,89454,0.04253244400024414
Service_Addition,37,74454,0.04454684257507324
Service_Addition,37,74454,0.04857277870178223
Service_Addition,37,74442,0.04776716232299805
Service_Addition,37,74466,0.0551600456237793
Registration,38,67753,0.051753997802734375
Service_Addition,38,89454,0.04535198211669922
Service_Addition,38,74418,0.0415644645690918
Service_Addition,38,74478,0.04694509506225586
Service_Addition,38,74430,0.05331707000732422
Registration,39,67729,0.05020332336425781
Service_Addition,39,89430,0.05620121955871582
Service_Addition,39,74478,0.047132015228271484
Service_Addition,39,74466,0.0494539737701416
Registration,40,67741,0.0493772029876709
Service_Addition,40,89442,0.04553651809692383
Service_Addition,40,74430,0.04685378074645996
Service_Addition,40,74478,0.04107809066772461
Service_Addition,40,74478,0.043900251388549805
Registration,41,67705,0.04468870162963867
Service_Addition,41,89466,0.048975229263305664
Service_Addition,41,74418,0.047063350677490234
Registration,42,67765,0.05142092704772949
Service_Addition,42,89478,0.04439187049865723
Registration,43,67729,0.052185773849487305
Service_Addition,43,89454,0.044469356536865234
Service_Addition,43,74442,0.04837226867675781
Registration,44,67681,0.04577803611755371
Service_Addition,44,89478,0.046129703521728516
Service_Addition,44,74430,0.04895377159118652
Registration,45,67669,0.04777336120605469
Service_Addition,45,89454,0.0446627140045166
Service_Addition,45,74418,0.04860067367553711
Service_Addition,45,74466,0.052117347717285156
Registration,46,67741,0.048577308654785156
Service_Addition,46,89478,0.058066368103027344
Registration,47,67693,0.050328969955444336
Service_Addition,47,89442,0.04634571075439453
Registration,48,67669,0.0462033748626709
Service_Addition,48,89454,0.05152082443237305
Registration,49,67705,0.04459524154663086
Service_Addition,49,89478,0.04500079154968262
Service_Addition,49,74478,0.04880380630493164
Registration,50,67777,0.04577231407165527
Service_Addition,50,89418,0.046469688415527344
Service_Addition,50,74430,0.04951286315917969
Service_Addition,50,74478,0.0459747314453125
Service_Addition,50,74430,0.04470634460449219
Service_Addition,50,74454,0.05780434608459473
Service_Selection,1,31240,0.04553866386413574
Service_Selection,1,31240,0.04394221305847168
Service_Selection,2,31252,0.04501771926879883
Service_Selection,2,31252,0.04610323905944824
Service_Selection,2,31240,0.04444479942321777
Service_Selection,3,31252,0.048485517501831055
Service_Selection,3,31252,0.04883861541748047
Service_Selection,4,31252,0.04702329635620117
Service_Selection,4,31252,0.04916882514953613
Service_Selection,4,31240,0.043578386306762695
Service_Selection,4,31252,0.05275225639343262
Service_Selection,5,31252,0.04959511756896973
Service_Selection,5,31240,0.04965686798095703
Service_Selection,5,31252,0.042450666427612305
Service_Selection,6,31240,0.05001187324523926
Service_Selection,7,31240,0.04864859580993652
Service_Selection,8,31240,0.04491996765136719
Service_Selection,8,31252,0.04756951332092285
Service_Selection,9,31240,0.04950881004333496
Service_Selection,10,31240,0.05327272415161133
Service_Selection,10,31252,0.04381918907165527
Service_Selection,10,31252,0.05045819282531738
Service_Selection,11,31252,0.04723930358886719
Service_Selection,11,31252,0.05183720588684082
Service_Selection,12,31252,0.04764103889465332
Service_Selection,13,31240,0.04435300827026367
Service_Selection,14,31240,0.04036593437194824
Service_Selection,14,31240,0.04340839385986328
Service_Selection,14,31240,0.05275082588195801
Service_Selection,15,31240,0.04506182670593262
Service_Selection,16,31252,0.043694496154785156
Service_Selection,17,31240,0.048062801361083984
Service_Selection,18,31252,0.047489166259765625
Service_Selection,18,31240,0.05696821212768555
Service_Selection,19,31240,0.04623055458068848
Service_Selection,19,31252,0.04967665672302246
Service_Selection,20,31240,0.04744386672973633
Service_Selection,21,31252,0.041860103607177734
Service_Selection,21,31252,0.0457456111907959
Service_Selection,22,31252,0.04996991157531738
Service_Selection,23,31240,0.046796321868896484
Service_Selection,23,31252,0.04279184341430664
Service_Selection,24,31240,0.04691576957702637
Service_Selection,25,31252,0.040056705474853516
Service_Selection,25,31240,0.045992136001586914
Service_Selection,25,31252,0.052242279052734375
Service_Selection,25,31252,0.043230533599853516
Service_Selection,26,31252,0.0405726432800293
Service_Selection,26,31252,0.04182577133178711
Service_Selection,27,31252,0.042009830474853516
Service_Selection,27,31252,0.04509711265563965
Service_Selection,27,31252,0.04133296012878418
Service_Selection,28,31252,0.04684019088745117
Service_Selection,28,31252,0.04826664924621582
Service_Selection,29,31228,0.04963231086730957
Service_Selection,29,31240,0.04612994194030762
Service_Selection,30,31252,0.04788613319396973
Service_Selection,30,31240,0.041947126388549805
Service_Selection,31,31252,0.0401606559753418
Service_Selection,31,31240,0.043964385986328125
Service_Selection,32,31240,0.04425311088562012
Service_Selection,32,31252,0.04827761650085449
Service_Selection,32,31240,0.05037045478820801
Service_Selection,33,31252,0.04948568344116211
Service_Selection,33,31252,0.04510807991027832
Service_Selection,33,31240,0.049874067306518555
Service_Selection,33,31252,0.045774221420288086
Service_Selection,34,31252,0.05267024040222168
Service_Selection,35,31252,0.04112696647644043
Service_Selection,35,31252,0.04868054389953613
Service_Selection,36,31252,0.04916858673095703
Service_Selection,36,31252,0.048056602478027344
Service_Selection,37,31252,0.044656991958618164
Service_Selection,37,31252,0.05727887153625488
Service_Selection,37,31252,0.04892730712890625
Service_Selection,37,31252,0.04439210891723633
Service_Selection,37,31252,0.04641532897949219
Service_Selection,38,31240,0.04596972465515137
Service_Selection,39,31240,0.04594612121582031
Service_Selection,39,31240,0.044989585876464844
Service_Selection,39,31240,0.04596090316772461
Service_Selection,39,31240,0.04358386993408203
Service_Selection,40,31252,0.04988384246826172
Service_Selection,40,31252,0.050702810287475586
Service_Selection,41,31240,0.049347639083862305
Service_Selection,41,31252,0.04627394676208496
Service_Selection,41,31252,0.04865407943725586
Service_Selection,42,31252,0.043982505798339844
Service_Selection,42,31252,0.04874467849731445
Service_Selection,42,31240,0.05374932289123535
Service_Selection,43,31240,0.040312767028808594
Service_Selection,43,31240,0.04439592361450195
Service_Selection,43,31252,0.050601959228515625
Service_Selection,44,31240,0.04164719581604004
Service_Selection,44,31228,0.04267477989196777
Service_Selection,45,31240,0.051308631896972656
Service_Selection,45,31252,0.052173614501953125
Service_Selection,45,31252,0.045868873596191406
Service_Selection,46,31252,0.08508825302124023
Service_Selection,46,31252,0.04476475715637207
Service_Selection,46,31252,0.05068492889404297
Service_Selection,46,31252,0.05071568489074707
Service_Selection,47,31252,0.04671072959899902
Service_Selection,47,31252,0.05560755729675293
Service_Selection,48,31240,0.04457402229309082
Service_Selection,49,31240,0.04995393753051758
Service_Selection,49,31252,0.04915642738342285
Service_Selection,50,31240,0.05560183525085449
